frame,method,probeCount,samples,build_s,dispatch_s,readback_s,total_s
6901,ImportanceSampling,9,512,0.000011,0.000005,0.000391,0.000414
6931,ImportanceSampling,9,512,0.000009,0.000005,0.000666,0.000693
6961,ImportanceSampling,9,512,0.000010,0.000005,0.000363,0.000386
6991,ImportanceSampling,9,512,0.000009,0.000005,0.000409,0.000431
7021,ImportanceSampling,9,512,0.000011,0.000005,0.000532,0.000556
7051,ImportanceSampling,9,512,0.000009,0.000005,0.000425,0.000446
7081,ImportanceSampling,9,512,0.000009,0.000005,0.000456,0.000477
7111,ImportanceSampling,9,512,0.000010,0.000005,0.000590,0.000620
7141,ImportanceSampling,9,512,0.000010,0.000005,0.000399,0.000420
7171,ImportanceSampling,9,512,0.000010,0.000005,0.000293,0.000315
7201,ImportanceSampling,9,512,0.000009,0.000005,0.000561,0.000583
7231,ImportanceSampling,9,512,0.000009,0.000005,0.000488,0.000509
7261,ImportanceSampling,9,512,0.000009,0.000005,0.000364,0.000384
7291,ImportanceSampling,9,512,0.000009,0.000005,0.000462,0.000482
7321,ImportanceSampling,9,512,0.000009,0.000005,0.000673,0.000699
7351,ImportanceSampling,9,512,0.000011,0.000005,0.000368,0.000392
7381,ImportanceSampling,9,512,0.000010,0.000005,0.000331,0.000355
7411,ImportanceSampling,9,512,0.000009,0.000004,0.000404,0.000424
7441,ImportanceSampling,9,512,0.000010,0.000005,0.000335,0.000356
7471,ImportanceSampling,9,512,0.000009,0.000005,0.000467,0.000488
7501,ImportanceSampling,9,512,0.000009,0.000005,0.000475,0.000496
7531,ImportanceSampling,9,512,0.000009,0.000005,0.000488,0.000510
7561,ImportanceSampling,9,512,0.000010,0.000005,0.000277,0.000299
7591,ImportanceSampling,9,512,0.000009,0.000005,0.000345,0.000367
7621,ImportanceSampling,9,512,0.000015,0.000004,0.000661,0.000693
7651,ImportanceSampling,9,512,0.000009,0.000004,0.000391,0.000412
7681,ImportanceSampling,9,512,0.000009,0.000005,0.000381,0.000402
7711,ImportanceSampling,9,512,0.000009,0.000005,0.000473,0.000494
7741,ImportanceSampling,9,512,0.000008,0.000005,0.000343,0.000363
7771,ImportanceSampling,9,512,0.000010,0.000005,0.000316,0.000338
7801,ImportanceSampling,9,512,0.000010,0.000005,0.000583,0.000612
7831,ImportanceSampling,9,512,0.000009,0.000005,0.000440,0.000461
7861,ImportanceSampling,9,512,0.000011,0.000005,0.000361,0.000385
7891,ImportanceSampling,9,512,0.000010,0.000005,0.000475,0.000497
7921,ImportanceSampling,9,512,0.000010,0.000005,0.000568,0.000590
7951,ImportanceSampling,9,512,0.000009,0.000005,0.000331,0.000351
7981,ImportanceSampling,9,512,0.000009,0.000005,0.000431,0.000452
8011,ImportanceSampling,9,512,0.000009,0.000005,0.000519,0.000541
8041,ImportanceSampling,9,512,0.000010,0.000005,0.000417,0.000439
8071,ImportanceSampling,9,512,0.000011,0.000005,0.000353,0.000377
8101,ImportanceSampling,9,512,0.000010,0.000005,0.000409,0.000431
8131,ImportanceSampling,9,512,0.000010,0.000005,0.000422,0.000445
8161,ImportanceSampling,9,512,0.000014,0.000004,0.000395,0.000421
8191,ImportanceSampling,9,512,0.000010,0.000005,0.000573,0.000596
8221,ImportanceSampling,9,512,0.000009,0.000005,0.000410,0.000432
8251,ImportanceSampling,9,512,0.000009,0.000004,0.000409,0.000430
8281,ImportanceSampling,9,512,0.000009,0.000005,0.000460,0.000481
8311,ImportanceSampling,9,512,0.000010,0.000005,0.000342,0.000365
8341,ImportanceSampling,9,512,0.000009,0.000004,0.000398,0.000418
8371,ImportanceSampling,9,512,0.000009,0.000005,0.000398,0.000420
8401,ImportanceSampling,9,512,0.000008,0.000005,0.000390,0.000410
8431,ImportanceSampling,9,512,0.000010,0.000005,0.000325,0.000347
8461,ImportanceSampling,9,512,0.000008,0.000005,0.000368,0.000387
8491,ImportanceSampling,9,512,0.000009,0.000005,0.000682,0.000709
8521,ImportanceSampling,9,512,0.000009,0.000004,0.000392,0.000414
8551,ImportanceSampling,9,512,0.000009,0.000005,0.000378,0.000399
8581,ImportanceSampling,9,512,0.000009,0.000005,0.000465,0.000487
8611,ImportanceSampling,9,512,0.000009,0.000005,0.000355,0.000377
8641,ImportanceSampling,9,512,0.000009,0.000005,0.000370,0.000391
8671,ImportanceSampling,9,512,0.000009,0.000005,0.000454,0.000475
8701,ImportanceSampling,9,512,0.000010,0.000005,0.000564,0.000593
8731,ImportanceSampling,9,512,0.000011,0.000005,0.000508,0.000538
8761,ImportanceSampling,9,512,0.000009,0.000005,0.000342,0.000363
8791,ImportanceSampling,9,512,0.000010,0.000005,0.000504,0.000527
8821,ImportanceSampling,9,512,0.000009,0.000005,0.000443,0.000465
8851,ImportanceSampling,9,512,0.000014,0.000005,0.000526,0.000554
8881,ImportanceSampling,9,512,0.000009,0.000005,0.000394,0.000417
8911,ImportanceSampling,9,512,0.000009,0.000004,0.000358,0.000379
8941,ImportanceSampling,9,512,0.000010,0.000005,0.000351,0.000373
8971,ImportanceSampling,9,512,0.000009,0.000005,0.000424,0.000445
9001,ImportanceSampling,9,512,0.000010,0.000005,0.000366,0.000387
9031,ImportanceSampling,9,512,0.000010,0.000005,0.000374,0.000396
9061,ImportanceSampling,9,512,0.000010,0.000005,0.000710,0.000733
9091,ImportanceSampling,9,512,0.000009,0.000005,0.000390,0.000411
9121,ImportanceSampling,9,512,0.000011,0.000004,0.000391,0.000413
9151,ImportanceSampling,9,512,0.000010,0.000005,0.000668,0.000698
9181,ImportanceSampling,9,512,0.000009,0.000005,0.000519,0.000541
9211,ImportanceSampling,9,512,0.000009,0.000005,0.000331,0.000353
9241,ImportanceSampling,9,512,0.000010,0.000005,0.000437,0.000460
9271,ImportanceSampling,9,512,0.000009,0.000005,0.000545,0.000573
9301,ImportanceSampling,9,512,0.000009,0.000005,0.000449,0.000470
9331,ImportanceSampling,9,512,0.000010,0.000004,0.000403,0.000424
9361,ImportanceSampling,9,512,0.000010,0.000005,0.000386,0.000409
9391,ImportanceSampling,9,512,0.000010,0.000005,0.000448,0.000477
9421,ImportanceSampling,9,512,0.000010,0.000004,0.000405,0.000425
9451,ImportanceSampling,9,512,0.000010,0.000005,0.000365,0.000387
9481,ImportanceSampling,9,512,0.000009,0.000005,0.000418,0.000439
9511,ImportanceSampling,9,512,0.000010,0.000004,0.000379,0.000400
9541,ImportanceSampling,9,512,0.000010,0.000005,0.000504,0.000527
9571,ImportanceSampling,9,512,0.000009,0.000005,0.000482,0.000504
9601,ImportanceSampling,9,512,0.000009,0.000007,0.000415,0.000438
9631,ImportanceSampling,9,512,0.000010,0.000005,0.000301,0.000324
9661,ImportanceSampling,9,512,0.000010,0.000004,0.000548,0.000576
9691,ImportanceSampling,9,512,0.000011,0.000004,0.000460,0.000490
9721,ImportanceSampling,9,512,0.000010,0.000005,0.000555,0.000584
9751,ImportanceSampling,9,512,0.000010,0.000004,0.000404,0.000425
9781,ImportanceSampling,9,512,0.000009,0.000005,0.000337,0.000359
9811,ImportanceSampling,9,512,0.000010,0.000005,0.000576,0.000603
9841,ImportanceSampling,9,512,0.000009,0.000005,0.000731,0.000759
9871,ImportanceSampling,9,512,0.000009,0.000005,0.000414,0.000436
9901,ImportanceSampling,9,512,0.000010,0.000005,0.000274,0.000297
9931,ImportanceSampling,9,512,0.000010,0.000005,0.000439,0.000462
9961,ImportanceSampling,9,512,0.000010,0.000005,0.000529,0.000553
9991,ImportanceSampling,9,512,0.000011,0.000005,0.000345,0.000367
10021,ImportanceSampling,9,512,0.000012,0.000005,0.000326,0.000350
10051,ImportanceSampling,9,512,0.000009,0.000005,0.000605,0.000633
10081,ImportanceSampling,9,512,0.000012,0.000005,0.000456,0.000482
10111,ImportanceSampling,9,512,0.000010,0.000005,0.000330,0.000353
10141,ImportanceSampling,9,512,0.000010,0.000005,0.000317,0.000340
10171,ImportanceSampling,9,512,0.000011,0.000004,0.000667,0.000696
10201,ImportanceSampling,9,512,0.000010,0.000005,0.000521,0.000545
10231,ImportanceSampling,9,512,0.000010,0.000005,0.000420,0.000442
10261,ImportanceSampling,9,512,0.000009,0.000005,0.000400,0.000421
10291,ImportanceSampling,9,512,0.000010,0.000005,0.000337,0.000359
10321,ImportanceSampling,9,512,0.000010,0.000005,0.000437,0.000459
10351,ImportanceSampling,9,512,0.000009,0.000005,0.000437,0.000459
10381,ImportanceSampling,9,512,0.000009,0.000005,0.000362,0.000383
10411,ImportanceSampling,9,512,0.000009,0.000005,0.000453,0.000474
10441,ImportanceSampling,9,512,0.000011,0.000005,0.000510,0.000534
10471,ImportanceSampling,9,512,0.000009,0.000005,0.000415,0.000436
10501,ImportanceSampling,9,512,0.000010,0.000005,0.000457,0.000480
10531,ImportanceSampling,9,512,0.000014,0.000005,0.000500,0.000527
10561,ImportanceSampling,9,512,0.000009,0.000005,0.000459,0.000481
10591,ImportanceSampling,9,512,0.000009,0.000005,0.000386,0.000406
10621,ImportanceSampling,9,512,0.000011,0.000004,0.000523,0.000546
10651,ImportanceSampling,9,512,0.000010,0.000004,0.000606,0.000628
10681,ImportanceSampling,9,512,0.000009,0.000005,0.000372,0.000393
10711,ImportanceSampling,9,512,0.000009,0.000005,0.000420,0.000442
10741,ImportanceSampling,9,512,0.000012,0.000005,0.000555,0.000581
10771,ImportanceSampling,9,512,0.000010,0.000005,0.000386,0.000409
10801,ImportanceSampling,9,512,0.000010,0.000005,0.000287,0.000309
10831,ImportanceSampling,9,512,0.000009,0.000005,0.000639,0.000666
10861,ImportanceSampling,9,512,0.000010,0.000005,0.000404,0.000427
10891,ImportanceSampling,9,512,0.000008,0.000005,0.000404,0.000425
10921,ImportanceSampling,9,512,0.000009,0.000005,0.000460,0.000482
10951,ImportanceSampling,9,512,0.000012,0.000005,0.000040,0.000064
10981,ImportanceSampling,9,512,0.000009,0.000005,0.000497,0.000519
11011,ImportanceSampling,9,512,0.000009,0.000005,0.000649,0.000670
